iso_code;year;fuel;production
COM;2017;biofuel;0.0
COM;2018;biofuel;0.0
COM;2019;biofuel;0.0
COM;2020;biofuel;0.0
COG;2000;biofuel;0.0
COG;2001;biofuel;0.0
COG;2002;biofuel;0.0
COG;2003;biofuel;0.02
COG;2004;biofuel;0.02
COG;2005;biofuel;0.02
COG;2006;biofuel;0.02
COG;2007;biofuel;0.01
COG;2008;biofuel;0.02
COG;2009;biofuel;0.03
COG;2010;biofuel;0.01
COG;2011;biofuel;0.01
COG;2012;biofuel;0.02
COG;2013;biofuel;0.02
COG;2014;biofuel;0.02
COG;2015;biofuel;0.05
COG;2016;biofuel;0.05
COG;2017;biofuel;0.05
COG;2018;biofuel;0.06
COG;2019;biofuel;0.08
COG;2020;biofuel;0.05
COG;2021;biofuel;
CRI;2000;biofuel;0.0
CRI;2001;biofuel;0.0
CRI;2002;biofuel;0.01
CRI;2003;biofuel;0.01
CRI;2004;biofuel;0.01
CRI;2005;biofuel;0.02
CRI;2006;biofuel;0.03
CRI;2007;biofuel;0.06
CRI;2008;biofuel;0.04
CRI;2009;biofuel;0.03
CRI;2010;biofuel;0.03
CRI;2011;biofuel;0.04
CRI;2012;biofuel;0.05
CRI;2013;biofuel;0.07
CRI;2014;biofuel;0.06
CRI;2015;biofuel;0.02
CRI;2016;biofuel;0.02
CRI;2017;biofuel;0.02
CRI;2018;biofuel;0.04
CRI;2019;biofuel;0.04
CRI;2020;biofuel;0.02
CRI;2021;biofuel;0.04
HRV;2000;biofuel;0.0
HRV;2001;biofuel;0.0
HRV;2002;biofuel;0.0
HRV;2003;biofuel;0.0
HRV;2004;biofuel;0.0
HRV;2005;biofuel;0.01
HRV;2006;biofuel;0.01
HRV;2007;biofuel;0.01
HRV;2008;biofuel;0.02
HRV;2009;biofuel;0.02
HRV;2010;biofuel;0.03
HRV;2011;biofuel;0.05
HRV;2012;biofuel;0.09
HRV;2013;biofuel;0.13
HRV;2014;biofuel;0.16
HRV;2015;biofuel;0.27
HRV;2016;biofuel;0.43
HRV;2017;biofuel;0.53
HRV;2018;biofuel;0.67
HRV;2019;biofuel;0.88
HRV;2020;biofuel;0.94
HRV;2021;biofuel;1.04
CUB;2000;biofuel;0.0
CUB;2001;biofuel;0.0
CUB;2002;biofuel;0.0
CUB;2003;biofuel;0.0
CUB;2004;biofuel;0.0
CUB;2005;biofuel;2.31
CUB;2006;biofuel;1.72
CUB;2007;biofuel;2.2
CUB;2008;biofuel;2.21
CUB;2009;biofuel;2.21
CUB;2010;biofuel;2.18
CUB;2011;biofuel;2.21
CUB;2012;biofuel;2.2
CUB;2013;biofuel;2.1
CUB;2014;biofuel;2.24
CUB;2015;biofuel;2.3
CUB;2016;biofuel;2.18
CUB;2017;biofuel;2.33
CUB;2018;biofuel;2.43
CUB;2019;biofuel;3.43
CUB;2020;biofuel;3.6
CYP;2000;biofuel;0.0
CYP;2001;biofuel;0.0
CYP;2002;biofuel;0.0
CYP;2003;biofuel;0.0
CYP;2004;biofuel;0.0
CYP;2005;biofuel;0.0
CYP;2006;biofuel;0.0
CYP;2007;biofuel;0.0
CYP;2008;biofuel;0.01
CYP;2009;biofuel;0.03
CYP;2010;biofuel;0.04
CYP;2011;biofuel;0.05
CYP;2012;biofuel;0.05
CYP;2013;biofuel;0.05
CYP;2014;biofuel;0.05
CYP;2015;biofuel;0.05
CYP;2016;biofuel;0.05
CYP;2017;biofuel;0.05
CYP;2018;biofuel;0.06
CYP;2019;biofuel;0.06
CYP;2020;biofuel;0.06
CYP;2021;biofuel;0.06
CZE;2000;biofuel;0.52
CZE;2001;biofuel;0.52
CZE;2002;biofuel;0.5
CZE;2003;biofuel;0.49
CZE;2004;biofuel;0.71
CZE;2005;biofuel;0.73
CZE;2006;biofuel;0.92
CZE;2007;biofuel;1.2
